timestamp,left_eye_x,left_eye_y,right_eye_x,right_eye_y,raw_gaze_x,raw_gaze_y
1769703797.194808,244.79862213134766,224.65486764907837,313.2861614227295,227.71183490753174,68.48753929138184,3.056967258453369
1769703797.308742,243.43981742858887,223.79053831100464,312.50182151794434,227.20529794692993,69.06200408935547,3.414759635925293
1769703797.323819,244.06896591186523,223.88500213623047,312.34089851379395,227.19278812408447,68.27193260192871,3.307785987854004
1769703797.359305,244.55259323120117,223.94496202468872,312.9790496826172,227.64094591140747,68.42645645141602,3.69598388671875
1769703797.385789,244.3486499786377,224.03307437896729,312.93444633483887,227.69195795059204,68.58579635620117,3.658883571624756
1769703797.411239,244.57358360290527,223.8368797302246,312.93941497802734,227.690327167511,68.36583137512207,3.853447437286377
1769703797.427479,244.47465896606445,223.5870623588562,312.8016662597656,227.50981092453003,68.32700729370117,3.922748565673828
1769703797.440339,244.1836929321289,223.8665771484375,313.28349113464355,227.84531593322754,69.09979820251465,3.978738784790039
1769703797.469625,244.13064002990723,223.83426904678345,312.994909286499,227.90134191513062,68.8642692565918,4.067072868347168
1769703797.521647,244.1555881500244,223.96620512008667,312.886266708374,227.2928524017334,68.73067855834961,3.3266472816467285
1769703797.536253,243.79393577575684,223.52057218551636,312.9621124267578,227.5194811820984,69.16817665100098,3.9989089965820312
1769703797.56937,243.91789436340332,223.59633207321167,312.8592586517334,227.71953105926514,68.94136428833008,4.123198986053467
1769703797.60029,244.22601699829102,223.39161157608032,312.8861618041992,227.1718955039978,68.6601448059082,3.7802839279174805
1769703797.609163,244.18951034545898,223.4252142906189,312.5941848754883,227.08502054214478,68.4046745300293,3.659806251525879
1769703797.685963,244.0530014038086,223.74052047729492,312.37889289855957,227.1153473854065,68.32589149475098,3.3748269081115723
1769703797.699861,243.88737678527832,223.74122142791748,312.8147029876709,227.14906454086304,68.92732620239258,3.4078431129455566
1769703797.723787,243.8582420349121,222.83455610275269,313.25581550598145,226.5867519378662,69.39757347106934,3.7521958351135254
1769703797.75094,243.58251571655273,222.88225650787354,313.0392360687256,226.5734624862671,69.45672035217285,3.6912059783935547
1769703797.773754,243.80149841308594,222.76278018951416,313.29572677612305,226.5039324760437,69.49422836303711,3.741152286529541
1769703797.790467,244.0139102935791,222.87453174591064,313.1118965148926,226.28803253173828,69.09798622131348,3.4135007858276367
1769703797.838737,243.86234283447266,223.14064264297485,313.20444107055664,226.31646394729614,69.34209823608398,3.175821304321289
1769703797.90916,243.96045684814453,222.86560535430908,312.61743545532227,226.0989475250244,68.65697860717773,3.233342170715332
1769703797.925711,244.31278228759766,222.9218029975891,312.07542419433594,226.2299680709839,67.76264190673828,3.3081650733947754
1769703797.970686,243.6261749267578,222.9638385772705,312.8815460205078,226.2202548980713,69.25537109375,3.2564163208007812
