timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,iris_center_x,iris_center_y,gaze_screen_x,gaze_screen_y,left_ear,right_ear,blink,head_yaw,head_pitch
1773344241.867473,267.9937934875488,145.31889152526855,347.864990234375,148.87600135803223,307.67088932564485,147.12591784548704,,,0.2579,0.3136,0,4.4,4.63
1773344241.979357,267.79184341430664,145.4241600036621,347.6023712158203,148.9717082977295,307.6813765214123,147.15472436757057,,,0.2844,0.3104,0,5.93,5.0
1773344242.084725,266.8402328491211,145.32541751861572,346.2574691772461,148.56173515319824,307.22836631812083,147.07026515490514,,,0.2877,0.3258,0,4.82,5.44
1773344242.173914,266.25358963012695,145.05438709259033,345.7902374267578,148.97268104553223,306.74578520224946,147.0475727205676,,,0.2823,0.325,0,5.05,5.31
1773344242.268119,265.09059143066406,145.60559749603271,344.52237701416016,149.10696029663086,305.9700648103145,147.17105519087326,,,0.2849,0.3373,0,4.0,5.19
1773344242.411436,264.5294609069824,145.76710510253906,344.3139953613281,149.00066757202148,305.35073013985084,147.25618764943607,,,0.2797,0.3236,0,4.18,5.1
1773344242.507003,264.3375053405762,145.9610424041748,343.9906539916992,149.7006711959839,304.8760699503656,147.48605530969337,,,0.2787,0.3262,0,3.63,5.49
1773344242.606984,264.7472953796387,147.24237155914307,343.59932708740234,150.1675386428833,304.59496646362754,147.97361522622128,,,0.2874,0.3359,0,4.08,5.05
1773344242.728282,264.3019027709961,148.35329246520996,343.62327575683594,151.5560073852539,304.3420155837429,148.76602910582554,,,0.257,0.3357,0,4.17,5.14
1773344242.811315,263.73543548583984,148.88768863677979,343.7907180786133,151.62082386016846,304.11044006313637,149.36131996288498,,,0.2513,0.3255,0,4.18,5.16
1773344242.887286,263.1424217224121,149.38265132904053,343.49776458740234,152.09522151947021,303.79430129984473,149.91236654743312,,,0.2585,0.3156,0,4.04,5.26
1773344242.958401,263.51412200927734,148.68582344055176,342.74105072021484,152.54157257080078,303.5276153258053,150.19289913073038,,,0.2693,0.3157,0,4.58,4.98
1773344243.148254,263.64850997924805,148.14798831939697,342.570068359375,152.15166091918945,303.36028486320777,150.17566932615551,,,0.2735,0.3241,0,4.25,5.06
1773344243.236259,262.3658981323242,148.05795192718506,341.9797821044922,151.35898876190186,302.88530696528795,149.98878973351069,,,0.2847,0.3184,0,3.49,5.41
1773344243.39299,257.3950843811035,146.2096939086914,337.2157974243164,150.27938175201416,300.65336054025676,149.29108897224754,,,0.2793,0.2939,0,2.95,5.16
1773344243.481101,253.89175415039062,145.27835083007812,333.7447052001953,148.25600910186768,297.91930819427125,148.28152536973766,,,0.3003,0.3097,0,0.84,4.27
1773344243.589394,252.3670997619629,145.07986736297607,331.5801239013672,147.90611171722412,295.5410296492288,147.56611103788265,,,0.3195,0.31,0,0.78,5.23
1773344243.676715,250.27023315429688,144.52349853515625,330.032470703125,146.66604709625244,293.3851585610216,146.77757574901133,,,0.3264,0.3175,0,0.01,5.22
1773344243.828179,249.55696868896484,144.27002334594727,329.4130630493164,146.9963550567627,291.8251014842692,146.3198211299488,,,0.3006,0.3245,0,-2.11,4.96
1773344243.992819,247.0951805114746,144.27564239501953,327.610538482666,146.77382469177246,290.0362046893897,146.00178609532767,,,0.3358,0.3113,0,-0.64,5.78
1773344244.122618,245.20863342285156,144.01402187347412,325.0391159057617,145.54827117919922,288.0712726793565,145.51353026773126,,,0.3162,0.3037,0,-1.88,4.86
1773344244.193655,243.30630493164062,145.042573928833,323.1181297302246,145.6840009689331,286.127650539987,145.45343314019198,,,0.335,0.3064,0,-0.38,4.88
1773344244.320449,242.30423736572266,145.20831871032715,322.54766845703125,146.1018991470337,284.64697148854293,145.53410345558734,,,0.3067,0.3133,0,-2.47,4.76
1773344244.496588,241.95525741577148,144.44520950317383,321.49875259399414,144.44940090179443,283.4789848950789,145.09938415434607,,,0.3174,0.3123,0,-1.61,5.43
1773344244.620944,242.20307540893555,142.9415044784546,320.97460556030273,142.10660362243652,282.72292713089496,144.06925211278588,,,0.3034,0.3061,0,0.43,5.07
1773344244.753042,239.93828964233398,142.78315830230713,318.3856010437012,141.46814918518066,281.29853441574403,143.29181276516908,,,0.311,0.3078,0,0.22,5.51
1773344244.90381,238.56183624267578,144.9078712463379,317.83060455322266,141.70693016052246,280.0576088086261,143.2980479404735,,,0.3086,0.3078,0,0.67,5.72
1773344245.058023,232.38902282714844,146.15881061553955,311.3493347167969,141.84536361694336,276.7822367939647,143.5796636107807,,,0.3467,0.2955,0,-0.29,5.07
1773344245.164634,226.15912246704102,144.95352458953857,305.0949897766113,138.44282627105713,272.3201645251093,142.82706833858757,,,0.3206,0.2973,0,-0.46,3.82
1773344245.279311,222.26134490966797,143.5964641571045,300.30373764038086,135.36240577697754,267.90511522507535,141.48801498996895,,,0.3135,0.2902,0,-1.0,2.96
1773344245.380342,223.20276260375977,143.2271318435669,301.9498481750488,134.9203691482544,265.77359129080696,140.52230919234563,,,0.3214,0.2865,0,-2.25,4.35
1773344245.503111,225.72648239135742,141.1272954940796,304.12823486328125,133.67381286621094,265.43509822541193,139.27360718746547,,,0.3255,0.2894,0,-1.61,4.36
1773344245.700532,232.87736129760742,140.25100421905518,311.73474502563477,132.92697429656982,268.1834801998956,138.19976001560428,,,0.3388,0.286,0,-1.09,4.03
1773344245.802666,240.84615325927734,140.52676105499268,321.50627517700195,136.15789031982422,273.3805738071932,138.25678628432593,,,0.323,0.284,0,-1.11,4.27
1773344245.926714,248.96613311767578,143.6059684753418,329.48948669433594,141.85207843780518,279.71946824671824,140.04568115322496,,,0.2609,0.2699,0,-0.86,5.2
1773344245.999431,250.64002990722656,142.70151042938232,332.03546142578125,142.48826694488525,284.3667792146325,141.0653641667885,,,0.2645,0.2894,0,-1.5,4.92
1773344246.185063,250.11190795898438,141.01152420043945,330.1310348510742,143.07811546325684,286.6686560907913,141.45714643281235,,,0.259,0.3025,0,-0.18,3.89
1773344246.318498,245.51419830322266,140.55732536315918,326.1825485229492,141.81621551513672,286.3405430197091,141.3489960353466,,,0.2875,0.2994,0,-2.65,3.8
1773344246.395213,243.42122268676758,141.18429851531982,323.8947525024414,142.42246627807617,285.2675208496673,141.53075057988718,,,0.2998,0.302,0,-2.09,5.05
1773344246.528955,250.70586395263672,140.56897830963135,331.1657257080078,143.04594326019287,287.5348304419293,141.64143466189716,,,0.281,0.3113,0,-1.45,5.66
1773344246.606953,258.6775665283203,139.7682809829712,338.9187545776367,143.35494804382324,292.040162486349,141.6095066024972,,,0.2954,0.3139,0,3.6,5.78
1773344246.765117,261.9951934814453,140.2740182876587,341.18663024902344,144.03828048706055,295.86046223790316,141.82816371644216,,,0.2939,0.3181,0,4.49,4.76
1773344246.8866,263.9188995361328,139.52709674835205,343.23587799072266,144.94659805297852,298.947232848113,141.9916371901314,,,0.2791,0.3067,0,5.34,4.74
1773344247.034914,264.9858589172363,140.8981819152832,343.23555755615234,145.58575057983398,301.0126230035455,142.49176881310228,,,0.2713,0.3104,0,6.3,4.47
1773344247.177881,264.7241325378418,140.34494018554688,343.9048767089844,145.44647598266602,302.33337565149253,142.65334452150393,,,0.2739,0.302,0,6.47,4.57
1773344247.338473,266.72710037231445,139.5197467803955,345.9079284667969,144.8885679244995,303.9270311587178,142.47366965388136,,,0.2861,0.313,0,6.43,3.0
1773344247.441034,267.32775497436523,136.13731384277344,345.84708404541016,142.40661334991455,304.99118649918574,141.19298723086644,,,0.2859,0.3027,0,9.23,2.58
1773344247.51733,266.56593322753906,135.08775329589844,345.1504592895508,140.9193820953369,305.3379904029294,139.91721941676693,,,0.3083,0.301,0,9.57,2.78
1773344247.641566,267.86444091796875,134.5764856338501,344.83097076416016,140.0935935974121,305.74187657818345,138.88434749631259,,,0.2888,0.3059,0,8.69,2.92
1773344247.748978,266.51679611206055,130.48126316070557,343.68157958984375,135.54609775543213,305.4848010872909,136.5360806810151,,,0.2803,0.2855,0,11.33,1.66
1773344247.903356,260.8954162597656,129.3288230895996,338.1204071044922,133.63708591461182,303.0940453252261,134.51483020945136,,,0.2095,0.2399,0,9.61,1.47
1773344247.974664,261.5547332763672,127.19594764709473,338.37139892578125,131.88443183898926,301.8416536355653,132.52497402288762,,,0.2533,0.2773,0,9.33,1.2
1773344248.084933,262.41897201538086,128.05882358551025,339.1507339477539,133.28312873840332,301.4189333739661,131.78337487851527,,,0.2726,0.2984,0,8.91,1.93
1773344248.174549,262.8284797668457,127.7380428314209,338.7258987426758,132.76809310913086,301.16223572628394,131.17125211521952,,,0.2852,0.3058,0,8.89,2.43
1773344248.247083,263.22673416137695,126.68931770324707,338.2528381347656,131.79163455963135,300.9932558949989,130.3989417217074,,,0.2889,0.2957,0,9.94,2.45
1773344248.33376,262.3565559387207,123.55328178405762,337.5952606201172,129.57541751861572,300.58631684876696,128.8651048935591,,,0.3027,0.2935,0,10.24,1.77
1773344248.404504,260.31364822387695,123.57234764099121,335.52904510498047,129.4901304244995,299.52032877503166,127.93155854923361,,,0.2813,0.3135,0,11.57,1.0
1773344248.532516,259.04891204833984,122.98203563690186,333.7264099121094,128.41091537475586,298.26726165710886,127.0375253318717,,,0.2896,0.296,0,12.17,1.52
1773344248.704479,258.650577545166,122.97996139526367,333.6871795654297,128.53974151611328,297.42790841638447,126.52645578139843,,,0.2753,0.2979,0,11.83,1.42
1773344248.78115,255.32480239868164,124.31665134429932,331.5350036621094,129.62243843078613,295.8287062619889,126.70369142385614,,,0.2572,0.3079,0,10.55,0.81
1773344248.8865,254.74596786499023,125.81783151626587,330.24779510498047,130.29711627960205,294.49597635118744,127.24520441348727,,,0.2689,0.2979,0,10.53,1.76
1773344249.031116,254.02654266357422,125.36971092224121,328.98628997802734,130.94937229156494,293.3001523390328,127.6109392908536,,,0.2706,0.2805,0,10.57,1.83
1773344249.167376,253.98936462402344,126.40788173675537,329.294921875,131.5718593597412,292.6369487032244,128.16251179381146,,,0.286,0.2967,0,9.99,2.21
1773344249.294753,255.09045791625977,127.47421646118164,330.44205474853516,132.4551944732666,292.6886717548936,128.88338926317653,,,0.3048,0.2931,0,9.13,2.96
1773344249.470423,256.2731628417969,127.34695529937744,331.65357971191406,132.17494583129883,293.1985515636784,129.23441378404118,,,0.2767,0.3077,0,9.28,2.55
1773344249.566221,257.2732162475586,128.51377487182617,333.16503143310547,133.946608543396,294.00678047433985,130.03272495346914,,,0.309,0.31,0,8.98,2.78
