timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,iris_center_x,iris_center_y,gaze_screen_x,gaze_screen_y,left_ear,right_ear,blink,head_yaw,head_pitch
1772998664.396101,265.18648529052734,227.38570976257324,331.3258514404297,229.866548538208,298.37543607019813,228.38038481479524,,,0.3241,0.3221,0,4.15,6.16
1772998664.465521,265.01445388793945,227.3408718109131,331.45967864990234,229.8960943222046,298.3200881496872,228.4756241155007,,,0.3272,0.3208,0,4.21,6.19
1772998664.505905,265.3084716796875,227.76770496368408,331.11387634277344,230.56652069091797,298.27652249430446,228.75221960022083,,,0.3291,0.3184,0,4.8,6.42
1772998664.547052,265.5070495605469,227.67095947265625,329.85872650146484,229.99355792999268,298.03906870898504,228.7842352406623,,,0.3309,0.3169,0,4.66,6.45
1772998664.587975,264.6529769897461,227.520489692688,331.1858673095703,230.28942775726318,297.9912100852543,228.83252463438762,,,0.333,0.3268,0,4.8,6.44
1772998664.629341,264.83513259887695,227.5650873184204,330.4991989135742,230.50919437408447,297.8615923536428,228.91437111913353,,,0.3486,0.3152,0,5.07,6.41
1772998664.721532,264.75424575805664,227.67804050445557,329.69654083251953,230.16641521453857,297.6071127303009,228.91751381527894,,,0.3378,0.3219,0,4.84,6.43
1772998664.768704,264.5789985656738,227.64573097229004,330.72882080078125,230.39182376861572,297.6258315114716,228.9580192373485,,,0.3359,0.318,0,4.97,6.45
1772998664.828182,264.46677017211914,227.57169914245605,330.76708984375,230.79079055786133,297.6222709100567,229.0473094824726,,,0.3406,0.318,0,5.35,6.48
1772998664.884874,264.6144256591797,227.44496726989746,330.61106872558594,230.75107383728027,297.61846142298714,229.0675939109191,,,0.3437,0.3184,0,5.45,6.57
1772998664.948257,264.8250160217285,227.38397026062012,330.8377227783203,230.90287399291992,297.70362461380205,229.09792519725949,,,0.3455,0.3196,0,5.17,6.46
1772998664.998974,264.9890441894531,227.6225709915161,330.65868377685547,230.89571857452393,297.75172036154294,229.16241303156372,,,0.3446,0.3139,0,5.19,6.33
1772998665.062217,264.72482681274414,227.5847625732422,330.94800567626953,230.89825057983398,297.7855987147285,229.19405044955346,,,0.3484,0.313,0,5.07,6.35
1772998665.132984,264.24779891967773,227.71033000946045,331.0554885864258,230.6077423095703,297.7320167300578,229.18004473353824,,,0.3471,0.3182,0,4.83,6.36
1772998665.180267,264.0462188720703,227.5889654159546,330.87609100341797,231.08255767822266,297.62367201313236,229.2423314589584,,,0.3524,0.3151,0,4.97,6.29
1772998665.220651,264.16402435302734,227.88329601287842,330.06056213378906,230.98470497131348,297.4191205052427,229.31899907221344,,,0.3475,0.3061,0,5.22,6.32
1772998665.2882,263.6321449279785,227.7879409790039,329.8734359741211,230.26015377044678,297.1525884835655,229.20101839321822,,,0.3453,0.3111,0,4.3,6.4
1772998665.329811,264.0718002319336,228.39725303649902,328.2111129760742,229.70920085906982,296.7481357317409,229.14190181504472,,,0.3255,0.27,0,3.74,6.13
1772998665.399871,263.9890556335449,229.86639404296875,327.44504165649414,230.1232624053955,296.33570089705233,229.4830723786997,,,0.2989,0.2436,0,3.61,5.84
1772998665.440013,263.72285079956055,230.98295402526855,328.5381774902344,231.61332321166992,296.25362619619034,230.20909887460752,,,0.275,0.196,0,4.54,5.93
1772998665.480166,263.7559280395508,230.44283294677734,327.61316680908203,231.27975368499756,296.02599468744074,230.4699766511195,,,0.2954,0.2017,0,4.61,6.02
1772998665.549083,263.4059028625488,228.48828506469727,327.34146881103516,230.9013433456421,295.76507114718123,230.15991167273958,,,0.3152,0.2783,0,4.6,6.11
1772998665.590399,263.13270568847656,227.55386924743652,327.4579849243164,229.99438190460205,295.57718081086733,229.60559723405146,,,0.3165,0.2726,0,4.03,6.3
1772998665.630796,263.23468017578125,227.1970796585083,327.4766159057617,230.10437965393066,295.488567702829,229.22365020291866,,,0.321,0.2674,0,3.57,6.18
1772998665.671098,263.39276123046875,227.2597017288208,327.53587341308594,230.2603940963745,295.4788675504084,229.03820928679025,,,0.3248,0.273,0,3.42,6.24
1772998665.713465,263.1371040344238,227.13243198394775,328.24732971191406,230.55659866333008,295.56420727951263,228.9607317015297,,,0.3255,0.2649,0,2.99,6.03
1772998665.776153,262.94585037231445,227.03479957580566,328.0907974243164,230.50693130493164,295.54585392703376,228.8847851970653,,,0.3209,0.2789,0,2.87,6.12
1772998665.816783,263.6282844543457,227.3070945739746,328.22901916503906,230.94255924224854,295.6989730800972,228.9808018814838,,,0.3282,0.2742,0,3.15,6.08
1772998665.907041,263.0564193725586,227.19557762145996,328.0518264770508,230.2322645187378,295.64103301798013,228.87404955692983,,,0.3174,0.2848,0,2.32,6.39
1772998665.955657,264.10423278808594,227.63282775878906,328.0220184326172,230.86677360534668,295.8098700549287,229.02435000698506,,,0.3383,0.2711,0,2.49,6.17
1772998666.024434,263.2175407409668,226.9281005859375,328.4018249511719,230.07425594329834,295.80979517138496,228.81508131003818,,,0.3175,0.2767,0,2.27,6.29
1772998666.064276,263.5870704650879,227.24409770965576,328.10475158691406,230.7894401550293,295.8242415132314,228.89575635895991,,,0.3445,0.2829,0,2.42,6.24
1772998666.10544,263.2538604736328,226.83542919158936,328.3733596801758,230.45886039733887,295.8199889387006,228.7963117331616,,,0.319,0.2837,0,2.6,6.19
1772998666.1658,263.5178565979004,226.92691326141357,328.27569580078125,230.99838638305664,295.8507038429567,228.862846968791,,,0.3256,0.277,0,3.05,6.24
1772998666.213911,263.0051574707031,226.08608722686768,328.0647888183594,231.0793104171753,295.7244115635865,228.7507877100832,,,0.3302,0.2835,0,3.22,6.27
1772998666.255458,263.1015625,226.25821208953857,327.98658752441406,230.82103157043457,295.65227694303474,228.66632135804454,,,0.3311,0.2787,0,3.04,6.17
1772998666.338676,263.3208465576172,226.35863399505615,328.0002212524414,230.92783069610596,295.65557972783256,228.65708575305914,,,0.33,0.2829,0,2.99,6.19
1772998666.411382,262.93614959716797,225.62992000579834,327.86448669433594,230.66934299468994,295.5534750950003,228.45410405193314,,,0.328,0.2896,0,3.12,6.35
1772998666.458816,263.25595474243164,225.78954219818115,328.00538635253906,230.76498126983643,295.5843532759943,228.38336712476342,,,0.337,0.2865,0,3.68,6.06
1772998666.499118,262.0713424682617,225.8720941543579,328.0079803466797,230.24211502075195,295.3664765285849,228.25286210988003,,,0.32,0.284,0,3.05,6.12
1772998666.5388,262.9115905761719,226.2453203201294,328.24796295166016,230.73166179656982,295.4517966227173,228.34711368926787,,,0.3346,0.2783,0,3.49,6.01
