timestamp,left_eye_x,left_eye_y,right_eye_x,right_eye_y,gaze_screen_x,gaze_screen_y,iris_center_x,iris_center_y,velocity,event
1769703797.194808,244.79862213134768,224.6548676490784,313.2861614227295,227.7118349075317,68.74388729980565,3.113115198471965,278.569103990505,225.882287102587,,other
1769703797.308742,243.43981742858887,223.79053831100464,312.50182151794434,227.20529794692996,68.55700891380772,3.292498782903206,278.54831774383933,225.81351377583348,0.6305923671301862,fixation
1769703797.323819,244.06896591186523,223.88500213623047,312.34089851379395,227.19278812408447,68.46085884762353,3.4522467213595545,278.54213603503723,225.76646895380122,3.1471522623452306,fixation
1769703797.359305,244.5525932312012,223.94496202468872,312.9790496826172,227.64094591140747,68.43851702855271,3.591349691441543,278.54672654555446,225.73659889422166,0.8516247689697328,fixation
1769703797.385789,244.3486499786377,224.03307437896729,312.93444633483887,227.69195795059204,68.47306338389495,3.7087983707497036,278.5582569568467,225.7193498548263,0.7834162484860772,fixation
1769703797.411239,244.57358360290527,223.8368797302246,312.93941497802734,227.690327167511,68.54757784094988,3.8035834368845705,278.5728949503698,225.71016809334668,0.6789526982929934,fixation
1769703797.427479,244.47465896606445,223.5870623588562,312.8016662597656,227.50981092453003,68.64514032701719,3.8746955674466754,278.58680820757934,225.70449986751424,0.9250895452715507,fixation
1769703797.440339,244.1836929321289,223.8665771484375,313.28349113464355,227.84531593322757,68.74883076939685,3.9211254400365716,278.59616440993244,225.69779143506173,0.8952268506046235,fixation
1769703797.469625,244.13064002990723,223.83426904678345,312.994909286499,227.90134191513064,68.72443893052912,3.925268790301177,278.64120753102867,225.70000435540163,1.5399026702869645,fixation
1769703797.521647,244.1555881500244,223.96620512008667,312.886266708374,227.2928524017334,68.75046810305534,3.8905290068544636,278.5538738734058,225.6887338668525,1.6927054231550207,fixation
1769703797.536253,243.79393577575684,223.5205721855164,312.9621124267578,227.5194811820984,68.73487257633852,3.8257694740640846,278.48281141859525,225.62224881034217,6.66264730176547,fixation
1769703797.56937,243.9178943634033,223.59633207321167,312.8592586517334,227.71953105926517,68.74963759512961,3.776851515964167,278.4373332623459,225.5492268665896,2.597633288600798,fixation
