timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,iris_center_x,iris_center_y,gaze_screen_x,gaze_screen_y,left_ear,right_ear,blink,head_yaw,head_pitch,velocity,event
1772998664.396101,265.18648529052734,227.38570976257324,331.3258514404297,229.866548538208,298.4782640407802,228.38853734569727,,,0.3241,0.3221,0,4.15,6.16,,other
1772998664.465521,265.01445388793945,227.3408718109131,331.45967864990234,229.8960943222046,298.2994314066256,228.5360776055413,,,0.3272,0.3208,0,4.21,6.19,3.3396498178409333,fixation
1772998664.505905,265.3084716796875,227.76770496368408,331.11387634277344,230.566520690918,298.1465230510205,228.65887425653196,,,0.3291,0.3184,0,4.8,6.42,4.856206997119564,fixation
1772998664.547052,265.5070495605469,227.67095947265625,329.85872650146484,229.99355792999268,298.01788486854696,228.75981749310205,,,0.3309,0.3169,0,4.66,6.45,3.9739355500537887,fixation
1772998664.587975,264.6529769897461,227.520489692688,331.1858673095703,230.2894277572632,297.91186275378726,228.8417975096844,,,0.333,0.3268,0,4.8,6.44,3.2749261758784844,fixation
1772998664.629341,264.8351325988769,227.5650873184204,330.4991989135742,230.50919437408447,297.82680260132355,228.90770450071184,,,0.3486,0.3152,0,5.07,6.41,2.601313638898879,fixation
1772998664.721532,264.75424575805664,227.6780405044556,329.6965408325196,230.16641521453855,297.761050305738,228.96042866061717,,,0.3378,0.3219,0,4.84,6.43,0.9141921876245477,fixation
1772998664.768704,264.5789985656738,227.64573097229004,330.72882080078125,230.39182376861567,297.7129517616143,229.00286018383434,,,0.3359,0.318,0,4.97,6.45,1.359703912188974,fixation
1772998664.828182,264.46677017211914,227.57169914245603,330.76708984375,230.79079055786133,297.6910446955263,229.03673233812682,,,0.3406,0.318,0,5.35,6.48,0.6782182030131314,fixation
1772998664.884874,264.6144256591797,227.44496726989743,330.61106872558594,230.75107383728027,297.69369319139173,229.07221186482218,,,0.3437,0.3184,0,5.45,6.57,0.6275694123832758,fixation
1772998664.948257,264.8250160217285,227.3839702606201,330.8377227783203,230.90287399291992,297.7209827736572,229.1221463206092,,,0.3455,0.3196,0,5.17,6.46,0.8977967771624575,fixation
1772998664.998974,264.9890441894531,227.6225709915161,330.65868377685547,230.89571857452395,297.7300538999409,229.13564971689564,,,0.3446,0.3139,0,5.19,6.33,0.3207469738862391,fixation
1772998665.062217,264.72482681274414,227.5847625732422,330.9480056762696,230.898250579834,297.6951436751328,229.1068141038748,,,0.3484,0.313,0,5.07,6.35,0.7159587286907347,fixation
1772998665.132984,264.24779891967773,227.71033000946045,331.0554885864258,230.6077423095703,297.622111942722,229.11321756693962,,,0.3471,0.3182,0,4.83,6.36,1.035963109716111,fixation
1772998665.180267,264.0462188720703,227.5889654159546,330.876091003418,231.08255767822263,297.48838421642614,229.1934484495293,,,0.3524,0.3151,0,4.97,6.29,3.298192978498431,fixation
1772998665.220651,264.16402435302734,227.8832960128784,330.06056213378906,230.98470497131348,297.3083206270541,229.33784594189558,,,0.3475,0.3061,0,5.22,6.32,5.715423204669846,fixation
1772998665.2882,263.6321449279785,227.7879409790039,329.8734359741211,230.2601537704468,297.07888612576363,229.5002634050562,,,0.3453,0.3111,0,4.3,6.4,4.161487692128059,fixation
1772998665.329811,264.0718002319336,228.39725303649905,328.2111129760742,229.70920085906985,296.8075293223464,229.6358157412038,,,0.3255,0.27,0,3.74,6.13,7.289619412809892,fixation
1772998665.399871,263.9890556335449,229.86639404296875,327.44504165649414,230.1232624053955,296.51830670976307,229.7273293205784,,,0.2989,0.2436,0,3.61,5.84,4.329935254574045,fixation
